マンション名,住所,立地1,立地2,立地3,築年数,建物の高さ,階層,賃料料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積,詳細URL
クローバーヒル,東京都葛飾区西亀有４,ＪＲ常磐線/亀有駅 歩11分,東京メトロ千代田線/綾瀬駅 歩20分,東京メトロ千代田線/北綾瀬駅 歩25分,築4年,3階建,2階,7.25万円,3000円,-/7.25万円,1K,26.16m2,https://suumo.jp/chintai/jnc_000062172892/?bc=100217881035
ラクシス田端,東京都荒川区西尾久１,ＪＲ山手線/田端駅 歩15分,日暮里・舎人ライナー/熊野前駅 歩8分,ＪＲ高崎線/尾久駅 歩13分,新築,3階建,1階,7万円,6000円,-/-,ワンルーム,15.26m2,https://suumo.jp/chintai/jnc_000061275782/?bc=100217555149
ラクシス田端,東京都荒川区西尾久１,ＪＲ山手線/田端駅 歩15分,日暮里・舎人ライナー/熊野前駅 歩8分,ＪＲ高崎線/尾久駅 歩13分,新築,3階建,1階,7.1万円,6000円,-/-,ワンルーム,15.19m2,https://suumo.jp/chintai/jnc_000061275781/?bc=100213167782
ラクシス田端,東京都荒川区西尾久１,ＪＲ山手線/田端駅 歩15分,日暮里・舎人ライナー/熊野前駅 歩8分,ＪＲ高崎線/尾久駅 歩13分,新築,3階建,1階,7.2万円,6000円,-/-,1K,17.15m2,https://suumo.jp/chintai/jnc_000061275783/?bc=100196624550
ラクシス田端,東京都荒川区西尾久１,ＪＲ山手線/田端駅 歩15分,日暮里・舎人ライナー/熊野前駅 歩8分,ＪＲ高崎線/尾久駅 歩13分,新築,3階建,2階,7.4万円,6000円,-/-,1K,16.28m2,https://suumo.jp/chintai/jnc_000061281266/?bc=100194382829
ラクシス田端,東京都荒川区西尾久１,ＪＲ山手線/田端駅 歩15分,日暮里・舎人ライナー/熊野前駅 歩8分,ＪＲ高崎線/尾久駅 歩13分,新築,3階建,2階,7.6万円,6000円,-/-,1K,17.15m2,https://suumo.jp/chintai/jnc_000061281267/?bc=100217681320
ラクシス田端,東京都荒川区西尾久１,ＪＲ山手線/田端駅 歩15分,日暮里・舎人ライナー/熊野前駅 歩8分,ＪＲ高崎線/尾久駅 歩13分,新築,3階建,3階,7.7万円,6000円,-/-,1K,17.15m2,https://suumo.jp/chintai/jnc_000061275789/?bc=100221020353
西武新宿線 鷺ノ宮駅 2階建 築18年,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩10分,西武新宿線/下井草駅 歩16分,西武新宿線/都立家政駅 歩15分,築18年,2階建,1階,4.2万円,3000円,-/-,ワンルーム,11.17m2,https://suumo.jp/chintai/jnc_000048937182/?bc=100218147718
西武新宿線 鷺ノ宮駅 2階建 築18年,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩10分,西武新宿線/下井草駅 歩16分,西武新宿線/都立家政駅 歩15分,築18年,2階建,1階,4.2万円,3000円,-/-,ワンルーム,11.17m2,https://suumo.jp/chintai/jnc_000062282752/?bc=100218523453
西武新宿線 鷺ノ宮駅 2階建 築18年,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩10分,西武新宿線/下井草駅 歩16分,西武新宿線/都立家政駅 歩15分,築18年,2階建,1階,9万円,5000円,9万円/9万円,2DK,35.5m2,https://suumo.jp/chintai/jnc_000044804352/?bc=100214272235
東京メトロ丸ノ内線 方南町駅 3階建 築6年,東京都中野区南台５,東京メトロ丸ノ内線/方南町駅 歩10分,京王線/笹塚駅 歩14分,京王線/代田橋駅 歩18分,築6年,3階建,1階,12.8万円,6000円,6.4万円/19.2万円,1LDK,38.64m2,https://suumo.jp/chintai/jnc_000062180035/?bc=100218286986
エストレヤ亀有,東京都葛飾区亀有２,ＪＲ常磐線/亀有駅 歩10分,京成本線/青砥駅 歩20分,東京メトロ千代田線/綾瀬駅 歩25分,築19年,2階建,1階,5.8万円,3500円,-/5.8万円,1K,18.8m2,https://suumo.jp/chintai/jnc_000043651600/?bc=100221410691
ＪＲ山手線 日暮里駅 3階建 築11年,東京都荒川区東日暮里３,ＪＲ山手線/日暮里駅 歩11分,ＪＲ常磐線/三河島駅 歩5分,東京メトロ日比谷線/三ノ輪駅 歩14分,築11年,3階建,1階,5.3万円,3000円,-/-,ワンルーム,10.57m2,https://suumo.jp/chintai/jnc_000058226287/?bc=100221421311
西武新宿線 鷺ノ宮駅 2階建 築32年,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩6分,西武新宿線/下井草駅 歩13分,ＪＲ中央線/阿佐ヶ谷駅 歩24分,築32年,2階建,2階,9.3万円,-,9.3万円/-,2DK,40.92m2,https://suumo.jp/chintai/jnc_000050439900/?bc=100202412582
西武新宿線 鷺ノ宮駅 2階建 築32年,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩6分,西武新宿線/下井草駅 歩13分,ＪＲ中央線/阿佐ヶ谷駅 歩24分,築32年,2階建,2階,9.3万円,-,9.3万円/-,2DK,40m2,https://suumo.jp/chintai/jnc_000058717643/?bc=100221354625
ロイジェント高島平,東京都板橋区高島平４,都営三田線/新高島平駅 歩9分,都営三田線/西高島平駅 歩10分,都営三田線/高島平駅 歩15分,新築,3階建,2階,7.5万円,4000円,-/-,1K,23.37m2,https://suumo.jp/chintai/jnc_000061271209/?bc=100209622161
ロイジェント高島平,東京都板橋区高島平４,都営三田線/新高島平駅 歩9分,都営三田線/西高島平駅 歩10分,都営三田線/高島平駅 歩15分,新築,3階建,2階,7.5万円,4000円,-/-,1K,23.37m2,https://suumo.jp/chintai/jnc_000061271210/?bc=100209613340
ロイジェント高島平,東京都板橋区高島平４,都営三田線/新高島平駅 歩9分,都営三田線/西高島平駅 歩10分,都営三田線/高島平駅 歩15分,新築,3階建,1階,9.9万円,6000円,1万円/-,1DK,33.67m2,https://suumo.jp/chintai/jnc_000061671763/?bc=100209622846
ロイジェント高島平,東京都板橋区高島平４,都営三田線/新高島平駅 歩9分,都営三田線/西高島平駅 歩10分,都営三田線/高島平駅 歩15分,新築,3階建,2階,10.2万円,6000円,1万円/-,1LDK,31.62m2,https://suumo.jp/chintai/jnc_000061671764/?bc=100215351275
ロイジェント高島平,東京都板橋区高島平４,都営三田線/新高島平駅 歩9分,都営三田線/西高島平駅 歩10分,都営三田線/高島平駅 歩15分,新築,3階建,3階,10.4万円,6000円,1万円/-,1LDK,31.62m2,https://suumo.jp/chintai/jnc_000061671765/?bc=100209623827
プレンティー,東京都板橋区四葉１,東武東上線/下赤塚駅 歩15分,東京メトロ有楽町線/地下鉄赤塚駅 歩15分,東武東上線/東武練馬駅 歩19分,築29年,3階建,2階,13.2万円,4500円,13.2万円/-,4LDK,84.63m2,https://suumo.jp/chintai/jnc_000062312637/?bc=100218771877
