マンション名,住所,立地1,立地2,立地3,築年数,建物の高さ,階層,賃料料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積,詳細URL
東京メトロ千代田線 代々木公園駅 2階建 築13年,東京都渋谷区富ヶ谷２,東京メトロ千代田線/代々木公園駅 歩8分,小田急線/代々木八幡駅 歩9分,小田急線/代々木上原駅 歩10分,築13年,2階建,2階,14万円,4000円,-/14万円,1LDK,40.45m2,https://suumo.jp/chintai/jnc_000062809620/?bc=100221366073
アヴニール,東京都板橋区赤塚７,東武東上線/下赤塚駅 歩9分,東武東上線/成増駅 歩19分,都営三田線/新高島平駅 歩27分,築6年,3階建,1階,10.8万円,3500円,-/10.8万円,1LDK,50.57m2,https://suumo.jp/chintai/jnc_000033192237/?bc=100221457293
日暮里・舎人ライナー 熊野前駅 2階建 築58年,東京都荒川区東尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,東京メトロ千代田線/町屋駅 歩13分,都電荒川線/東尾久三丁目駅 歩4分,築58年,2階建,2階,7万円,3000円,7万円/7万円,1DK,28.35m2,https://suumo.jp/chintai/jnc_000061501233/?bc=100220331145
日暮里・舎人ライナー 熊野前駅 2階建 築58年,東京都荒川区東尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,東京メトロ千代田線/町屋駅 歩13分,都電荒川線/東尾久三丁目駅 歩4分,築58年,2階建,1階,7.3万円,2000円,7.3万円/7.3万円,1DK,27.13m2,https://suumo.jp/chintai/jnc_000057360344/?bc=100221267625
ＪＲ中央線 高円寺駅 2階建 新築,東京都中野区大和町１,ＪＲ中央線/高円寺駅 歩10分,西武新宿線/野方駅 歩17分,西武新宿線/都立家政駅 歩18分,新築,2階建,1階,13.7万円,1000円,13.7万円/13.7万円,2DK,48.59m2,https://suumo.jp/chintai/jnc_000062682589/?bc=100221117286
ＪＲ中央線 高円寺駅 2階建 新築,東京都中野区大和町１,ＪＲ中央線/高円寺駅 歩10分,西武新宿線/野方駅 歩17分,西武新宿線/都立家政駅 歩18分,新築,2階建,1階,14万円,-,14万円/14万円,2DK,48.59m2,https://suumo.jp/chintai/jnc_000062682590/?bc=100221469477
ＪＲ中央線 高円寺駅 2階建 新築,東京都中野区大和町１,ＪＲ中央線/高円寺駅 歩10分,西武新宿線/野方駅 歩17分,西武新宿線/都立家政駅 歩18分,新築,2階建,1階,14万円,1000円,14万円/14万円,2DK,48.59m2,https://suumo.jp/chintai/jnc_000062682591/?bc=100221117265
西武新宿線 鷺ノ宮駅 2階建 築31年,東京都中野区上鷺宮２,西武新宿線/鷺ノ宮駅 歩7分,西武池袋線/中村橋駅 歩15分,,築31年,2階建,1階,10万円,3000円,10万円/10万円,2K,40.73m2,https://suumo.jp/chintai/jnc_000062656199/?bc=100220445135
西武新宿線 鷺ノ宮駅 2階建 築31年,東京都中野区上鷺宮２,西武新宿線/鷺ノ宮駅 歩7分,西武池袋線/中村橋駅 歩15分,,築31年,2階建,1階,10万円,3000円,10万円/10万円,2DK,40.2m2,https://suumo.jp/chintai/jnc_000052327584/?bc=100202497115
ウェルバ－ド高島平,東京都板橋区高島平５,都営三田線/新高島平駅 歩10分,都営三田線/西高島平駅 歩9分,東武東上線/成増駅 歩25分,築7年,3階建,2階,9.1万円,3000円,-/9.1万円,1LDK,40.13m2,https://suumo.jp/chintai/jnc_000062829460/?bc=100221457240
カサ・プリマベーラ,東京都葛飾区立石５,京成押上線/京成立石駅 歩10分,京成本線/お花茶屋駅 歩14分,京成押上線/青砥駅 歩17分,築23年,2階建,1階,5.9万円,-,5.9万円/-,1K,21.53m2,https://suumo.jp/chintai/jnc_000037566757/?bc=100216853492
LaLa柴又,東京都葛飾区柴又４,北総線/新柴又駅 歩4分,京成金町線/柴又駅 歩8分,京成本線/京成高砂駅 歩13分,築3年,2階建,1階,4.3万円,3000円,-/-,ワンルーム,9.18m2,https://suumo.jp/chintai/jnc_000047485705/?bc=100217410129
LaLa柴又,東京都葛飾区柴又４,北総線/新柴又駅 歩4分,京成金町線/柴又駅 歩8分,京成本線/京成高砂駅 歩13分,築3年,2階建,2階,4.8万円,3000円,-/-,ワンルーム,13.18m2,https://suumo.jp/chintai/jnc_000062836021/?bc=100221510046
NKスカイハイツ五反田,東京都品川区東五反田４,ＪＲ山手線/五反田駅 歩7分,都営浅草線/高輪台駅 歩4分,東京メトロ南北線/白金台駅 歩15分,築26年,2階建,2階,11万円,3000円,11万円/11万円,2DK,38m2,https://suumo.jp/chintai/jnc_000062835172/?bc=100221508127
ベルフォーレ,東京都板橋区赤塚６,東武東上線/下赤塚駅 歩10分,東京メトロ副都心線/地下鉄赤塚駅 歩12分,東武東上線/成増駅 歩14分,築4年,3階建,1階,10.3万円,6000円,-/5万円,1LDK,35.46m2,https://suumo.jp/chintai/jnc_000062829441/?bc=100221457099
グランバニエＡ,東京都葛飾区亀有４,ＪＲ常磐線/亀有駅 歩13分,京成本線/お花茶屋駅 歩20分,東京メトロ千代田線/綾瀬駅 歩23分,築4年,3階建,2階,6.3万円,4000円,-/-,1K,22.81m2,https://suumo.jp/chintai/jnc_000057778145/?bc=100221484559
グランバニエＡ,東京都葛飾区亀有４,ＪＲ常磐線/亀有駅 歩13分,京成本線/お花茶屋駅 歩20分,東京メトロ千代田線/綾瀬駅 歩23分,築4年,3階建,3階,6.3万円,4000円,6.3万円/-,1K,22.81m2,https://suumo.jp/chintai/jnc_000062746518/?bc=100221022584
エスポワール船堀,東京都江戸川区船堀６,都営新宿線/船堀駅 歩8分,都営新宿線/一之江駅 歩24分,東京メトロ東西線/西葛西駅 歩28分,築11年,2階建,2階,8万円,3000円,4万円/4万円,1K,26.6m2,https://suumo.jp/chintai/jnc_000037105237/?bc=100221358167
サンメゾン,東京都中野区大和町１,ＪＲ総武線/高円寺駅 歩9分,西武新宿線/野方駅 歩14分,,築29年,2階建,1階,8.5万円,-,8.5万円/-,1LDK,35.6m2,https://suumo.jp/chintai/jnc_000044827270/?bc=100221491663
iSメゾン赤羽,東京都北区岩淵町,ＪＲ京浜東北線/赤羽駅 歩5分,東京メトロ南北線/赤羽岩淵駅 歩1分,東京メトロ南北線/志茂駅 歩14分,築7年,3階建,2階,6.48万円,5000円,-/-,1K,18.95m2,https://suumo.jp/chintai/jnc_000046521371/?bc=100217570131
iSメゾン赤羽,東京都北区岩淵町,ＪＲ京浜東北線/赤羽駅 歩5分,東京メトロ南北線/赤羽岩淵駅 歩1分,東京メトロ南北線/志茂駅 歩14分,築7年,3階建,1階,6.48万円,5000円,-/-,ワンルーム,18.95m2,https://suumo.jp/chintai/jnc_000062111190/?bc=100217604092
iSメゾン赤羽,東京都北区岩淵町,ＪＲ京浜東北線/赤羽駅 歩5分,東京メトロ南北線/赤羽岩淵駅 歩1分,東京メトロ南北線/志茂駅 歩14分,築7年,3階建,3階,10.98万円,5000円,-/-,1LDK,48.66m2,https://suumo.jp/chintai/jnc_000062835763/?bc=100221511551
東京メトロ丸ノ内線 中野富士見町駅 2階建 築11年,東京都中野区弥生町６,東京メトロ丸ノ内線/中野富士見町駅 歩6分,東京メトロ丸ノ内線/方南町駅 歩8分,京王線/笹塚駅 歩25分,築11年,2階建,2階,8.2万円,2000円,8.2万円/8.2万円,1K,25.06m2,https://suumo.jp/chintai/jnc_000062478135/?bc=100219613320
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,1階,7.4万円,5000円,-/-,ワンルーム,9.05m2,https://suumo.jp/chintai/jnc_000061747894/?bc=100210339627
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,1階,7.4万円,5000円,-/-,ワンルーム,9.05m2,https://suumo.jp/chintai/jnc_000061747895/?bc=100214884880
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,1階,7.4万円,5000円,-/-,ワンルーム,9.05m2,https://suumo.jp/chintai/jnc_000061730014/?bc=100214641036
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,1階,7.45万円,5000円,-/-,ワンルーム,9.05m2,https://suumo.jp/chintai/jnc_000061747893/?bc=100210339629
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,1階,7.5万円,5000円,-/-,ワンルーム,9.05m2,https://suumo.jp/chintai/jnc_000061747896/?bc=100219794853
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,1階,7.55万円,5000円,-/-,ワンルーム,9.6m2,https://suumo.jp/chintai/jnc_000060686045/?bc=100215110067
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,1階,7.6万円,5000円,-/-,ワンルーム,9.05m2,https://suumo.jp/chintai/jnc_000060737611/?bc=100214884606
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,1階,7.6万円,5000円,-/-,ワンルーム,13.24m2,https://suumo.jp/chintai/jnc_000060686047/?bc=100221453414
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,1階,7.6万円,5000円,-/-,ワンルーム,9m2,https://suumo.jp/chintai/jnc_000060737613/?bc=100210937260
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,2階,7.8万円,5000円,-/-,ワンルーム,13.24m2,https://suumo.jp/chintai/jnc_000060737616/?bc=100214806140
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,2階,7.8万円,5000円,-/-,ワンルーム,13.24m2,https://suumo.jp/chintai/jnc_000060708442/?bc=100214806190
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,2階,7.8万円,5000円,-/-,ワンルーム,9.6m2,https://suumo.jp/chintai/jnc_000060686049/?bc=100214806173
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,2階,7.85万円,5000円,-/-,ワンルーム,9.6m2,https://suumo.jp/chintai/jnc_000060686048/?bc=100214806153
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,2階,7.9万円,5000円,-/-,ワンルーム,9.05m2,https://suumo.jp/chintai/jnc_000061747898/?bc=100214885597
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,2階,7.9万円,5000円,-/-,ワンルーム,9.05m2,https://suumo.jp/chintai/jnc_000061747899/?bc=100214883737
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,2階,7.9万円,5000円,-/-,ワンルーム,9.05m2,https://suumo.jp/chintai/jnc_000061730015/?bc=100214884218
東急東横線 学芸大学駅 2階建 新築,東京都目黒区五本木２,東急東横線/学芸大学駅 歩7分,東急東横線/祐天寺駅 歩11分,,新築,2階建,2階,7.95万円,5000円,-/-,ワンルーム,9.05m2,https://suumo.jp/chintai/jnc_000061747897/?bc=100214641032
ルネ・丸美II,東京都板橋区高島平２,都営三田線/高島平駅 歩13分,都営三田線/西台駅 歩17分,都営三田線/新高島平駅 歩20分,築11年,2階建,2階,9.3万円,2000円,9.3万円/-,2DK,40.9m2,https://suumo.jp/chintai/jnc_000062517524/?bc=100219813964
ＪＲ高崎線 尾久駅 3階建 築9年,東京都荒川区西尾久５,ＪＲ高崎線/尾久駅 歩8分,ＪＲ山手線/田端駅 歩15分,ＪＲ京浜東北線/上中里駅 歩21分,築9年,3階建,3階,5.8万円,3000円,-/-,1K,14.76m2,https://suumo.jp/chintai/jnc_000026920861/?bc=100221503948
あさひ壱番館,東京都練馬区旭町１,都営大江戸線/光が丘駅 歩10分,東京メトロ副都心線/地下鉄成増駅 バス5分 (バス停)旭町南地区区民館 歩1分,東武東上線/成増駅 バス6分 (バス停)旭町南地区区民館 歩1分,築13年,3階建,2階,10.3万円,4500円,-/10.3万円,1LDK,37.77m2,https://suumo.jp/chintai/jnc_000062829481/?bc=100221456114
あさひ壱番館,東京都練馬区旭町１,都営大江戸線/光が丘駅 歩10分,東京メトロ副都心線/地下鉄成増駅 バス5分 (バス停)旭町南地区区民館 歩1分,東武東上線/成増駅 バス6分 (バス停)旭町南地区区民館 歩1分,築13年,3階建,3階,10.8万円,4500円,-/10.8万円,1LDK,37.79m2,https://suumo.jp/chintai/jnc_000062829482/?bc=100221456112
都営大江戸線 光が丘駅 3階建 築13年,東京都練馬区旭町１,都営大江戸線/光が丘駅 歩10分,都営大江戸線/練馬春日町駅 歩29分,西武池袋線/練馬高野台駅 車8分(2.9km),築13年,3階建,2階,10.3万円,4500円,-/10.3万円,1LDK,37.79m2,https://suumo.jp/chintai/jnc_000062835898/?bc=100221512950
都営大江戸線 光が丘駅 3階建 築13年,東京都練馬区旭町１,都営大江戸線/光が丘駅 歩10分,都営大江戸線/練馬春日町駅 歩29分,西武池袋線/練馬高野台駅 車8分(2.9km),築13年,3階建,3階,10.8万円,4500円,-/10.8万円,1LDK,37.79m2,https://suumo.jp/chintai/jnc_000062835899/?bc=100221512951
ＵＴ浮間,東京都北区浮間２,ＪＲ埼京線/浮間舟渡駅 歩7分,ＪＲ埼京線/北赤羽駅 歩11分,都営三田線/蓮根駅 歩26分,築2年,3階建,1階,8.8万円,3000円,-/8.8万円,1DK,33.08m2,https://suumo.jp/chintai/jnc_000049318468/?bc=100221458047
フォレスト宮乃脇 南館,東京都板橋区大谷口上町,東京メトロ副都心線/小竹向原駅 歩12分,東京メトロ有楽町線/千川駅 歩13分,東武東上線/中板橋駅 歩17分,築4年,2階建,2階,11.1万円,3000円,11.1万円/11.1万円,1SLDK,56.48m2,https://suumo.jp/chintai/jnc_000061945451/?bc=100216871607
フォレスト宮乃脇 南館,東京都板橋区大谷口上町,東京メトロ副都心線/小竹向原駅 歩12分,東京メトロ有楽町線/千川駅 歩13分,東武東上線/中板橋駅 歩17分,築4年,2階建,2階,11.1万円,3000円,11.1万円/11.1万円,1SLDK,56.48m2,https://suumo.jp/chintai/jnc_000042952464/?bc=100220863759
東京メトロ副都心線 小竹向原駅 2階建 築4年,東京都板橋区大谷口上町,東京メトロ副都心線/小竹向原駅 歩12分,東京メトロ有楽町線/千川駅 歩13分,東武東上線/中板橋駅 歩17分,築4年,2階建,2階,11.1万円,3000円,11.1万円/11.1万円,1SLDK,56.48m2,https://suumo.jp/chintai/jnc_000061954481/?bc=100216871667
Casa Hermosa（カーサ　エルモーサ）,東京都板橋区小茂根４,東京メトロ有楽町線/小竹向原駅 歩10分,東京メトロ副都心線/小竹向原駅 歩10分,西武有楽町線/新桜台駅 歩14分,新築,3階建,1階,11.8万円,5500円,-/-,1LDK,33.61m2,https://suumo.jp/chintai/jnc_000060144122/?bc=100209611174
Casa Hermosa（カーサ　エルモーサ）,東京都板橋区小茂根４,東京メトロ有楽町線/小竹向原駅 歩10分,東京メトロ副都心線/小竹向原駅 歩10分,西武有楽町線/新桜台駅 歩14分,新築,3階建,2階,12.2万円,5500円,-/12.2万円,1LDK,33.61m2,https://suumo.jp/chintai/jnc_000060144131/?bc=100221149520
Casa Hermosa（カーサ　エルモーサ）,東京都板橋区小茂根４,東京メトロ有楽町線/小竹向原駅 歩10分,東京メトロ副都心線/小竹向原駅 歩10分,西武有楽町線/新桜台駅 歩14分,新築,3階建,3階,12.4万円,5500円,-/12.4万円,1LDK,33.61m2,https://suumo.jp/chintai/jnc_000060144138/?bc=100209074002
クレセントムーン 曳舟(クレセントムーン ヒキフネ),東京都墨田区東向島１,東武伊勢崎線/曳舟駅 歩5分,京成押上線/京成曳舟駅 歩10分,東京メトロ半蔵門線/押上駅 歩18分,築3年,3階建,2階,6.7万円,3000円,-/-,1K,16.64m2,https://suumo.jp/chintai/jnc_000045251253/?bc=100219232331
クレセントムーン 曳舟(クレセントムーン ヒキフネ),東京都墨田区東向島１,東武伊勢崎線/曳舟駅 歩5分,京成押上線/京成曳舟駅 歩10分,東京メトロ半蔵門線/押上駅 歩18分,築3年,3階建,3階,6.8万円,3000円,-/-,1K,16.64m2,https://suumo.jp/chintai/jnc_000045251256/?bc=100221502826
コーポサンライズ,東京都板橋区小茂根２,東京メトロ有楽町線/小竹向原駅 歩9分,東武東上線/ときわ台駅 歩18分,東京メトロ副都心線/千川駅 歩23分,築20年,2階建,1階,7万円,-,7万円/7万円,1LDK,33.87m2,https://suumo.jp/chintai/jnc_000062835861/?bc=100221518830
コーポサンライズ,東京都板橋区小茂根２,東京メトロ有楽町線/小竹向原駅 歩9分,東武東上線/ときわ台駅 歩18分,東京メトロ副都心線/千川駅 歩23分,築20年,2階建,2階,8万円,2000円,8万円/8万円,2K,31.61m2,https://suumo.jp/chintai/jnc_000055363776/?bc=100213766090
グランクオール城東,東京都足立区足立４,東武伊勢崎線/五反野駅 歩7分,東武伊勢崎線/梅島駅 歩14分,東武伊勢崎線/小菅駅 歩19分,築2年,3階建,1階,6万円,3000円,-/-,1K,16.58m2,https://suumo.jp/chintai/jnc_000062048230/?bc=100213975538
グランクオール城東,東京都足立区足立４,東武伊勢崎線/五反野駅 歩7分,東武伊勢崎線/梅島駅 歩14分,東武伊勢崎線/小菅駅 歩19分,築2年,3階建,2階,6.2万円,3000円,-/-,1K,16.58m2,https://suumo.jp/chintai/jnc_000062048231/?bc=100219216374
Laki（ラキ）,東京都板橋区東新町２,東京メトロ副都心線/小竹向原駅 歩15分,東武東上線/ときわ台駅 歩16分,東武東上線/上板橋駅 歩17分,築4年,3階建,3階,11.9万円,3000円,11.9万円/11.9万円,2LDK,54.65m2,https://suumo.jp/chintai/jnc_000056407993/?bc=100221509374
カーサニコルII,東京都足立区堀之内２,日暮里・舎人ライナー/江北駅 歩14分,日暮里・舎人ライナー/西新井大師西駅 歩22分,日暮里・舎人ライナー/高野駅 歩22分,築15年,2階建,1階,8万円,3800円,-/-,1LDK,46.65m2,https://suumo.jp/chintai/jnc_000061340405/?bc=100213554256
