,name,real_rent,age,route_1,route_2,route_3,room_number,DK,K,L,S,convenience,new,old,far,near,very far,very near,世田谷区,中央区,中野区,北区,千代田区,台東区,品川区,墨田区,大田区,文京区,新宿区,板橋区,江戸川区,江東区,渋谷区,港区,目黒区,練馬区,荒川区,葛飾区,豊島区,足立区
74,東京メトロ丸ノ内線 方南町駅 3階建 築6年,134000.0,6.0,10.0,14.0,18.0,1.0,1.0,0.0,1.0,0.0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,エストレヤ亀有,61500.0,19.0,10.0,20.0,25.0,1.0,0.0,1.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,ＪＲ山手線 日暮里駅 3階建 築11年,56000.0,11.0,11.0,5.0,14.0,1.0,0.0,0.0,0.0,0.0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,西武新宿線 鷺ノ宮駅 2階建 築32年,93000.0,32.0,6.0,13.0,24.0,2.0,1.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,西武新宿線 鷺ノ宮駅 2階建 築32年,93000.0,32.0,6.0,13.0,24.0,2.0,1.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,ロイジェント高島平,79000.0,0.0,9.0,10.0,15.0,1.0,0.0,1.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,ロイジェント高島平,79000.0,0.0,9.0,10.0,15.0,1.0,0.0,1.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,ロイジェント高島平,105000.0,0.0,9.0,10.0,15.0,1.0,1.0,0.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,ロイジェント高島平,108000.0,0.0,9.0,10.0,15.0,1.0,1.0,0.0,1.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,ロイジェント高島平,110000.0,0.0,9.0,10.0,15.0,1.0,1.0,0.0,1.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,プレンティー,136500.0,29.0,15.0,15.0,19.0,4.0,1.0,0.0,1.0,0.0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,東京メトロ千代田線 代々木公園駅 2階建 築13年,144000.0,13.0,8.0,9.0,10.0,1.0,1.0,0.0,1.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,アヴニール,111500.0,6.0,9.0,19.0,27.0,1.0,1.0,0.0,1.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,日暮里・舎人ライナー 熊野前駅 2階建 築58年,73000.0,58.0,6.0,13.0,4.0,1.0,1.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,日暮里・舎人ライナー 熊野前駅 2階建 築58年,75000.0,58.0,6.0,13.0,4.0,1.0,1.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
89,ＪＲ中央線 高円寺駅 2階建 新築,138000.0,0.0,10.0,17.0,18.0,2.0,1.0,0.0,0.0,0.0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,ＪＲ中央線 高円寺駅 2階建 新築,140000.0,0.0,10.0,17.0,18.0,2.0,1.0,0.0,0.0,0.0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,ＪＲ中央線 高円寺駅 2階建 新築,141000.0,0.0,10.0,17.0,18.0,2.0,1.0,0.0,0.0,0.0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,西武新宿線 鷺ノ宮駅 2階建 築31年,103000.0,31.0,7.0,15.0,,2.0,0.0,1.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
